Year,Month,Day,Hour,Minute,Second,T,Height,Date
2021,3,23,18,30,0,1,5658.149,2021-03-23 18:30:00
2021,3,23,18,15,0,1,5658.134,2021-03-23 18:15:00
2021,3,23,18,0,0,1,5658.12,2021-03-23 18:00:00
2021,3,23,17,45,0,1,5658.108,2021-03-23 17:45:00
2021,3,23,17,30,0,1,5658.097,2021-03-23 17:30:00
2021,3,23,17,15,0,1,5658.087,2021-03-23 17:15:00
2021,3,23,17,0,0,1,5658.08,2021-03-23 17:00:00
2021,3,23,16,45,0,1,5658.071,2021-03-23 16:45:00
2021,3,23,16,30,0,1,5658.067,2021-03-23 16:30:00
2021,3,23,16,15,0,1,5658.063,2021-03-23 16:15:00
2021,3,23,16,0,0,1,5658.061,2021-03-23 16:00:00
2021,3,23,15,45,0,1,5658.065,2021-03-23 15:45:00
2021,3,23,15,30,0,1,5658.071,2021-03-23 15:30:00
2021,3,23,15,15,0,1,5658.078,2021-03-23 15:15:00
2021,3,23,15,0,0,1,5658.089,2021-03-23 15:00:00
2021,3,23,14,45,0,1,5658.105,2021-03-23 14:45:00
2021,3,23,14,30,0,1,5658.123,2021-03-23 14:30:00
2021,3,23,14,15,0,1,5658.145,2021-03-23 14:15:00
2021,3,23,14,0,0,1,5658.167,2021-03-23 14:00:00
2021,3,23,13,45,0,1,5658.192,2021-03-23 13:45:00
2021,3,23,13,30,0,1,5658.222,2021-03-23 13:30:00
2021,3,23,13,15,0,1,5658.254,2021-03-23 13:15:00
2021,3,23,13,0,0,1,5658.285,2021-03-23 13:00:00
2021,3,23,12,45,0,1,5658.32,2021-03-23 12:45:00
2021,3,23,12,30,0,1,5658.356,2021-03-23 12:30:00
2021,3,23,12,15,0,1,5658.394,2021-03-23 12:15:00
2021,3,23,12,0,0,1,5658.43,2021-03-23 12:00:00
2021,3,23,11,45,0,1,5658.469,2021-03-23 11:45:00
2021,3,23,11,30,0,1,5658.51,2021-03-23 11:30:00
2021,3,23,11,15,0,1,5658.551,2021-03-23 11:15:00
2021,3,23,11,0,0,1,5658.59,2021-03-23 11:00:00
2021,3,23,10,45,0,1,5658.627,2021-03-23 10:45:00
2021,3,23,10,30,0,1,5658.667,2021-03-23 10:30:00
2021,3,23,10,15,0,1,5658.702,2021-03-23 10:15:00
2021,3,23,10,0,0,1,5658.734,2021-03-23 10:00:00
2021,3,23,9,45,0,1,5658.765,2021-03-23 09:45:00
2021,3,23,9,30,0,1,5658.795,2021-03-23 09:30:00
2021,3,23,9,15,0,1,5658.825,2021-03-23 09:15:00
2021,3,23,9,0,0,1,5658.849,2021-03-23 09:00:00
2021,3,23,8,45,0,1,5658.872,2021-03-23 08:45:00
2021,3,23,8,30,0,1,5658.893,2021-03-23 08:30:00
2021,3,23,8,15,0,1,5658.908,2021-03-23 08:15:00
